paper_number,paper_identifier,source_json_file,experimental_record_count,records_with_experiment_level_source_evidence,records_with_paper_level_provenance_only
462,https://doi.org/10.1007/s10973-011-1452-6,s10973-011-1452-6_extracted.json,2,2,0
463,https://doi.org/10.1007/s10973-013-3137-9,s10973-013-3137-9_extracted.json,4,4,0
464,https://doi.org/10.1007/s10973-016-5755-5,s10973-016-5755-5_extracted.json,6,6,0
465,https://doi.org/10.1007/s10973-016-5767-1,s10973-016-5767-1_extracted.json,6,6,0
466,https://doi.org/10.1007/s10973-018-7599-7,s10973-018-7599-7_extracted.json,6,6,0
467,https://doi.org/10.1007/s10973-018-7891-6,s10973-018-7891-6_extracted.json,9,9,0
468,https://doi.org/10.1007/s10973-019-08459-3,s10973-019-08459-3_extracted.json,5,5,0
469,https://doi.org/10.1007/s10973-019-09026-6,s10973-019-09026-6_extracted.json,16,16,0
470,https://doi.org/10.1007/s10973-020-09274-x,s10973-020-09274-x_extracted.json,6,6,0
471,https://doi.org/10.1007/s10973-020-10195-y,s10973-020-10195-y_extracted.json,2,2,0
472,https://doi.org/10.1007/s10973-022-11324-5,s10973-022-11324-5_extracted.json,1,1,0
473,https://doi.org/10.1007/s10973-022-11394-5,s10973-022-11394-5_extracted.json,6,6,0
474,https://doi.org/10.1007/s10973-022-11766-x,s10973-022-11766-x_extracted.json,10,10,0
475,https://doi.org/10.1007/s10973-023-12095-3,s10973-023-12095-3_extracted.json,1,1,0
476,https://doi.org/10.1007/s10973-023-12446-0,s10973-023-12446-0_extracted.json,7,7,0
477,https://doi.org/10.1007/s10973-023-12867-x,s10973-023-12867-x_extracted.json,4,4,0
478,https://doi.org/10.1007/s10973-024-13362-7,s10973-024-13362-7_extracted.json,4,4,0
479,https://doi.org/10.1007/s10973-024-13939-2,s10973-024-13939-2_extracted.json,5,5,0
480,https://doi.org/10.1007/s10973-025-15103-w,s10973-025-15103-w_extracted.json,5,5,0
481,https://doi.org/10.1007/s10973-025-15168-7,s10973-025-15168-7_extracted.json,1,1,0
482,https://doi.org/10.1007/s11426-025-2974-2,s11426-025-2974-2_extracted.json,14,14,0
483,https://doi.org/10.1007/s11581-020-03745-9,s11581-020-03745-9_extracted.json,5,5,0
484,https://doi.org/10.1007/s11581-020-03800-5,s11581-020-03800-5_extracted.json,1,1,0
485,https://doi.org/10.1007/s11664-024-11485-z,s11664-024-11485-z_extracted.json,1,1,0
486,https://doi.org/10.1007/s12206-025-2410-8,s12206-025-2410-8_extracted.json,1,1,0
487,https://doi.org/10.1038/s41467-020-18868-w,s41467-020-18868-w_extracted.json,8,8,0
488,10.1038/s41467-021-24404-1,s41467-021-24404-1_extracted.json,1,0,1
489,https://doi.org/10.1038/s41467-023-40995-3,s41467-023-40995-3_extracted.json,3,3,0
490,https://doi.org/10.1038/s41560-025-01751-7,s41560-025-01751-7_extracted.json,5,5,0
491,https://doi.org/10.1038/s41598-025-07824-7,s41598-025-07824-7_extracted.json,19,19,0
492,https://doi.org/10.1038/s41598-025-25824-5,s41598-025-25824-5_extracted.json,5,5,0
493,https://doi.org/10.1007/s42154-023-00226-3,s42154-023-00226-3_extracted.json,4,4,0
494,https://doi.org/10.1007/s42461-020-00349-9,s42461-020-00349-9_extracted.json,4,4,0
495,https://doi.org/10.1007/s42461-024-00938-y,s42461-024-00938-y_extracted.json,12,12,0
496,https://doi.org/10.1007/s43979-025-00119-w,s43979-025-00119-w_extracted.json,3,3,0
497,https://doi.org/10.1021/acsomega.4c00921,simulation-study-on-temperature-control-performance-of-lithium-ion-battery-fires-by-fine-water-mist-in-energy-storage_extracted.json,4,4,0
498,https://doi.org/10.1002/smll.202510001,Small - 2025 - Hou - EC‐Less High‐Entropy Electrolytes Enabling High‐Safety and Durable Ni‐Rich Lithium‐Ion Batteries_extracted.json,4,4,0
499,https://doi.org/10.1002/smll.202503065,Small - 2025 - Zhang - An Additive with Carbonate‐Sulfate Hybrid Structure Enables High‐Voltage and Long‐Life Lithium‐Ion_extracted.json,3,3,0
500,https://doi.org/10.1149/1945-7111/ad7293,Sorensen_2024_J._Electrochem._Soc._171_080540_extracted.json,2,2,0
501,Suppressing Thermal Runaway of Lithium-ion Batteries by Using Insulation Material,Suppressing_Thermal_Runaway_of_Lithium-ion_Batteries_by_Using_Insulation_Material_extracted.json,1,0,1
502,https://doi.org/10.1002/sus2.74,SusMat - 2022 - Xu - Dendrite‐accelerated thermal runaway mechanisms of lithium metal pouch batteries_extracted.json,2,2,0
503,10.1021/acsami.5c11426,synergistic-microstructure-and-thermal-regulation-via-multifunctional-flame-retardant-separator-design-for-high-safety_extracted.json,2,0,2
504,https://doi.org/10.1021/acsami.1c11195,thermal-behavior-of-li1-x-li1-3ti5-3-o4-and-a-proof-of-concept-for-sustainable-batteries_extracted.json,6,6,0
505,https://doi.org/10.1021/acsomega.3c00261,thermal-electrical-and-environmental-safeties-of-sulfide-electrolyte-based-all-solid-state-li-ion-batteries_extracted.json,10,10,0
